Cluster,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,bin_frac_05,n_members,rh,e_rh,t_relax,e_t_relax,tau,e_tau,bin_frac_corr,bin_frac_05_corr,n_systems,e_bin_frac,e_bin_frac_05
NGC_6425,266.7017,-31.4717,0.969,0.011,8.712,0.024,0.05,0.059,1.094,0.07,216,-1.29787,0.39139,2.35571,0.36157,-0.11723,0.03554,1.60539,0.06771,415,83,0.4351851851851852,0.58335,0.24252,1.25217,2.23767,0.31321,4e-05,0.2685185185185185,310.0,1.93575524564252,0.2119705302085697,17.423949382374897,3.350631332405189,29.570141262171763,5.916490400134123,0.4663355840145754,0.29211392654853624,216,0.03465819516295845,0.05301232984218121
NGC_6444,267.4126,-34.8178,1.638,0.087,8.451,0.383,0.188,0.065,1.616,0.148,193,-0.77524,0.38592,1.58818,0.22748,0.11135,0.04847,1.77579,0.1206,630,126,0.533678756476684,0.60659,0.24835,1.19713,2.40235,0.37126,0.00803,0.3316062176165803,296.0,3.2695627121048414,0.2686065071509974,29.927674588230595,4.749527573732638,9.439022622982634,8.457890360800233,0.5219568004384758,0.29869777940875114,193,0.03600237100828195,0.053317016316107066
NGC_6475,268.4215,-34.8721,0.273,0.0,8.667,0.0,0.114,0.0,0.204,0.0,595,-1.19323,0.27701,1.59289,0.27233,-0.2,0.03965,1.86536,0.0487,791,158,0.4302521008403361,0.56471,0.24494,1.1541,1.48798,0.15288,0.00397,0.2487394957983193,851.0,2.090796386959328,0.0979359880211812,32.154149539509646,3.926429841480184,14.44651100636242,1.76410238594413,0.3998552833497294,0.2493834556747217,595,0.022126491372657806,0.052612010990986606
NGC_6520,270.8547,-27.8821,1.572,0.064,7.937,0.304,0.162,0.069,1.337,0.066,185,-1.22934,0.25913,2.00461,0.28871,0.06791,0.03439,1.82047,0.08785,555,111,0.6486486486486487,0.65739,0.25313,1.33818,0.61712,0.34091,0.02381,0.4378378378378378,305.0,0.833525222871605,0.0568638983993331,4.202737463782367,0.6013253261344192,20.581059993151285,14.704327567004691,0.5094970076952028,0.27419200507604596,185,0.052748245370729065,0.07018751929038936
NGC_6568,273.2109,-21.6117,1.019,0.008,8.891,0.025,0.151,0.041,0.828,0.062,315,-0.89035,0.31898,2.13329,0.2794,-0.12055,0.03616,1.76614,0.05371,784,156,0.5936507936507937,0.64122,0.24878,1.1911,2.66333,0.24571,0.00013,0.4,502.0,2.7761564138961674,0.1992621147959643,32.05178443722594,4.698603485020248,24.27435990540883,3.823001729124818,0.5447464632341709,0.3809953346348773,315,0.030862317906124464,0.05280006477122449
NGC_659,26.1019,60.6713,2.634,0.058,7.374,0.089,-0.083,0.055,2.174,0.047,270,-1.34625,0.23615,1.30519,0.19572,0.11538,0.04221,1.94043,0.09872,1094,218,0.5481481481481482,0.60345,0.28156,1.07264,2.73652,0.16327,0.52649,0.3259259259259259,418.0,2.463471106888332,0.2228476229066017,19.561097480179324,3.292959475222959,1.2095025342433223,0.3207701361850743,0.5262224896983686,0.34897119982432423,270,0.030721736444728226,0.05300095138100921
NGC_6604,274.5254,-12.2434,1.935,0.037,6.809,0.057,0.103,0.077,2.881,0.037,152,-1.13513,0.13389,2.32708,0.38756,0.04007,0.03607,1.74716,0.06115,871,174,0.743421052631579,0.76381,0.20726,,,0.26905,0.33846,0.625,265.0,1.3809443005903363,0.2072095896959527,6.403249519934478,1.576750853589011,1.0060036915784114,0.2807113276176733,0.5427268398155473,0.3552815914019426,152,0.06646074808385237,0.09371708091867435
NGC_6633,276.865,6.6414,0.391,0.002,8.901,0.175,-0.117,0.043,0.549,0.238,278,-1.54609,0.63417,0.98941,0.17689,-0.01796,0.05699,1.84673,0.11982,512,102,0.6942446043165468,0.67544,0.22046,1.10947,2.23366,0.14728,0.10059,0.5215827338129496,471.0,2.4352929784592328,0.1367446428717863,30.946099248005623,4.036797776014044,25.72729260760153,10.896558209703286,0.4691811727624561,0.3122417869211597,278,0.06926088441403656,0.07967229009640504
NGC_6694,281.3173,-9.3785,1.675,0.037,8.001,0.159,0.173,0.024,1.892,0.029,513,-1.63935,0.34161,1.694,0.22347,0.02036,0.03573,2.02296,0.10202,1208,241,0.50682261208577,0.52754,0.26662,1.40171,3.00303,0.32857,0.0,0.2690058479532163,773.0,2.397882883555468,0.1724949360368374,29.514597831882888,4.337117525030891,3.395964409839144,1.3397114657936988,0.44745378536087277,0.2649095359271199,513,0.02763096113103396,0.05262103299300079
NGC_6709,282.8393,10.3438,1.043,0.006,8.197,0.049,0.047,0.021,1.082,0.023,377,-1.8278,0.24921,2.15511,0.22734,-0.08311,0.02222,1.81381,0.05113,679,135,0.5039787798408488,0.52725,0.22741,1.27143,3.16968,0.2379,4e-05,0.273209549071618,567.0,2.618141979503176,0.1871397537273578,34.82719416641216,5.092164145789823,4.519407612756206,0.8346587767482749,0.5269259315437844,0.36125287805919126,377,0.026455403110720855,0.05843772499072605
NGC_6728,284.7119,-8.9423,1.699,0.021,8.762,0.041,0.122,0.049,0.876,0.092,511,-2.02238,0.47512,1.82558,0.22051,0.00075,0.02933,1.9889,0.09355,1170,234,0.49706457925636,0.60354,0.25556,1.45218,5.67041,0.36157,0.0,0.3072407045009784,765.0,5.04330412106153,0.3483984614781235,90.6940490925857,13.06042696985411,6.374134281021735,1.0975738662291057,0.45218734091495216,0.2646207922274534,511,0.02528649660332927,0.05388897107561976
NGC_6793,290.8032,22.1722,0.583,0.002,8.517,0.169,0.126,0.053,1.17,0.057,250,-2.00735,0.36041,1.75969,0.20602,-0.1034,0.02658,1.64492,0.05422,409,81,0.484,0.58213,0.25535,1.27488,3.10366,0.26181,0.00057,0.316,371.0,2.1869286440429554,0.1881902848181773,24.31686410936036,3.9560041687311225,13.523603594486383,5.7039174731155295,0.4378010461175183,0.26238856271749217,250,0.03389446184850852,0.05465872596864745
NGC_6811,294.3895,46.3864,1.107,0.007,9.003,0.012,-0.021,0.025,0.255,0.042,363,-1.36598,0.54,1.74331,0.24628,-0.06964,0.04257,1.80282,0.08242,646,129,0.4573002754820937,0.60109,0.27798,1.60368,4.83898,0.27829,0.0,0.2617079889807162,529.0,3.139041855632076,0.2116281193022877,44.30021260832992,6.295581322679976,22.729725424894863,3.2906509338674783,0.5495371312668091,0.4001661644847013,363,0.03732851028309145,0.06530064290246977
NGC_6830,297.7246,23.0977,2.024,0.046,7.722,0.212,0.159,0.018,1.857,0.034,263,-1.72902,0.28269,1.52187,0.19407,0.09068,0.03073,1.98802,0.09665,699,139,0.5703422053231939,0.62924,0.27469,1.04508,1.77441,0.33109,0.00038,0.3916349809885932,413.0,2.693020744547812,0.1834836247046275,27.70113159404081,3.9497793161840136,1.903279148120589,0.9679051762409332,0.5143788628091042,0.3426683770094822,263,0.03414375696831333,0.05419699724138196
NGC_6866,300.9715,44.1596,1.377,0.021,8.892,0.031,0.063,0.064,0.514,0.078,229,-1.69262,0.52537,1.92816,0.2301,0.02125,0.03016,1.79672,0.10175,449,89,0.4235807860262008,0.64015,0.24134,1.32361,2.52605,0.32696,1e-05,0.296943231441048,326.0,2.5835144632214178,0.2979470140263279,26.880256795645,5.359085969604042,29.011259693382165,6.14347682977636,0.5252556033091683,0.28388300286963963,229,0.04370467962253494,0.05265727126265913
NGC_6910,305.7806,40.7493,1.64,0.031,6.989,0.04,-0.03,0.039,3.311,0.101,422,-1.65362,0.14649,2.10512,0.22614,0.08793,0.02149,2.05662,0.05999,1528,305,0.7417061611374408,0.79062,0.21813,,,0.26748,0.04936,0.6184834123222749,735.0,4.089103645114725,0.4443665868354535,56.05980408215106,10.714881408123372,0.1739195585287132,0.0369000091631781,0.44105565709945793,0.2622758184332803,422,0.09090740854909461,0.11580160716840714
NGC_6913,305.8575,38.4713,1.636,0.047,6.921,0.037,-0.003,0.072,2.832,0.163,241,-1.39612,0.16891,1.45948,0.16786,0.14838,0.03083,2.02636,0.08242,903,180,0.5975103734439834,0.69952,0.26751,,,0.28189,0.10015,0.4315352697095436,385.0,3.4319518518908927,0.3119178706437285,33.141065344668526,5.596763537150809,0.2515553365437454,0.0475817022553676,0.5531558706986757,0.3788340353389961,241,0.03368700308973053,0.05447142204677044
NGC_6939,307.937,60.6499,1.719,0.04,9.183,0.017,-0.007,0.036,1.397,0.034,797,-1.66627,0.66181,1.81107,0.1587,0.04808,0.02733,2.21489,0.10993,2031,406,0.5984943538268507,0.69399,0.26707,1.14669,3.58803,0.17915,3e-05,0.4316185696361355,1274.0,3.018591350559829,0.1373836583659087,48.74004176953874,5.899514187534729,31.26900795455993,3.977809535623365,0.48653896308845673,0.30855463677466116,797,0.036551089989867364,0.06366964478572858
NGC_6940,308.5568,28.3041,1.0,0.009,9.022,0.017,0.008,0.045,0.709,0.055,715,-1.19297,0.30907,2.26511,0.21701,-0.09742,0.02519,2.01298,0.04708,1393,278,0.4979020979020979,0.68548,0.23586,1.27642,8.02996,0.25631,0.0,0.3622377622377622,1071.0,4.017936915745936,0.2116957359193201,78.15334040728358,9.948202754752998,13.460229189706968,1.7925468531127766,0.42943548464716347,0.2602320706880633,715,0.026698568681765556,0.05991228811923973
