pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,er_q,r/rh
0.4469,-0.0534,-0.0203,18,282.122357338,0.0251,8.69204939928,0.0271,4287124105927443072,0.4434,0.0313,0.048,0.032,-1.446,0.034,0.995,15.52344,0.002781,16.157415,0.00377,14.746282,0.002944,1.411134,,,1.266,2866.999,428.3,1154.619,1.0,2.0173279972933984,0.002007197168298,0.0,0.0,0.0,,0.3743253531892924
0.4131,-0.1243,-0.1207,18,282.06389905209,0.128,8.71120835182,0.1401,4287125166754556544,0.2626,0.1531,0.248,0.159,-1.675,0.164,1.015,18.556143,0.003297,19.675627,0.027452,17.528606,0.011395,2.14702,,,1.343,599.416,39.756,98.276,0.59,0.9796526443113432,0.0366757702114812,0.7697342677099236,0.1490895568118141,0.7857216250878556,0.1550028773173886,0.37484056712355357
0.392,-0.0517,0.0189,17,282.10922026826,0.0333,8.68364810324,0.0366,4287124071567706368,0.4562,0.0398,-0.189,0.038,-1.342,0.041,1.093,15.841188,0.002792,16.595076,0.00474,14.965711,0.003051,1.629365,,,1.305,2422.101,283.363,879.52,0.99,1.7295111504873193,0.0286138797714581,1.3758477841048944,0.0503717614570803,0.7955125260205612,0.0319605739060064,0.37705145323138073
0.3024,-0.0986,0.017,18,282.10211871487,0.0175,8.75283889324,0.0183,4287126820346837120,0.4315,0.0216,0.009,0.023,-1.582,0.025,1.039,14.680854,0.00277,15.340321,0.00318,13.880894,0.002964,1.459427,,,1.274,3814.424,711.746,1084.716,1.0,2.32897170104946,0.0334086808289872,0.0,0.2904902950237726,0.0,,0.39921253881297125
0.4208,-0.077,-0.0107,17,282.1298756284,0.0434,8.69763487853,0.0458,4287125579071355520,0.4614,0.0523,-0.013,0.056,-1.351,0.06,1.045,16.521753,0.002829,17.269182,0.007041,15.628453,0.003896,1.640729,,,1.323,1697.033,167.964,399.246,1.0,1.6073454451238027,0.0011591906274993,0.0,0.0585287523586486,0.0,,0.40540177286772466
0.3372,-0.0412,-0.1051,18,282.06780632439,0.0659,8.6961352098,0.0711,4287124312085911680,0.5201,0.0808,0.063,0.086,-1.38,0.092,0.952,17.454081,0.002901,18.378851,0.012955,16.477978,0.004181,1.900873,,,1.344,1195.454,85.825,348.612,0.99,1.233455669952987,0.0399091788882229,0.9382913197796432,0.0958226394933515,0.760701290396116,0.0814920967287127,0.4123182250381678
0.4642,-0.0716,0.0255,17,282.13731373545,0.0235,8.7185356054,0.0256,4287125789555636480,0.4813,0.0274,-0.046,0.026,-1.554,0.029,0.966,11.896974,0.00277,13.000017,0.002849,10.862733,0.002803,2.137284,25.13,0.34,1.354,3845.594,1878.729,4018.478,1.0,2.7355563997668724,0.0346298413324098,1.9808107355515567,0.8766634569859645,0.7240979333200238,0.3206009579130714,0.4155534946324423
0.386,-0.1102,-0.0551,18,282.12374624657,0.0501,8.68777174295,0.0535,4287124101602551168,0.461,0.0616,0.089,0.061,-1.661,0.067,1.009,16.940628,0.002841,17.795546,0.010005,16.046555,0.003829,1.748991,,,1.289,1568.754,113.005,414.018,0.94,1.4532254904483792,0.0044633868149834,0.0,0.2156541602104879,0.0,,0.4165755095223934
0.2714,-0.0729,-0.0534,18,282.07775290275,0.0118,8.68448354939,0.0124,4287124243366419072,0.4732,0.0148,0.057,0.015,-1.758,0.016,1.063,12.879929,0.002768,13.779655,0.003057,11.933875,0.002804,1.84578,26.07,1.29,1.323,4064.632,868.562,3837.826,0.81,2.705981823083615,0.0328479336411376,2.5182062137056374,0.0240547956823634,0.9306072170270542,0.014374883324797,0.41985695349034324
0.2969,-0.1147,-0.0705,18,282.05991146017,0.0212,8.71216610999,0.0225,4287125171079389824,0.4518,0.0271,-0.041,0.027,-1.529,0.027,1.12,15.160725,0.002776,15.879851,0.00338,14.314533,0.002912,1.565318,,,1.292,3181.231,569.249,1302.336,1.0,1.95825801336764,0.053806674726265,1.7008678358166418,0.0912704762971656,0.8685616625623498,0.0523627499045851,0.42003037887574324
